node_id,entity_type,entity_name,component_id,num_neighbors,connected_claim_count,total_connected_claim_amount,fraud_claim_count,avg_claim_to_vehicle_ratio,degree_centrality,betweenness_centrality,eigenvector_centrality,kmeans_cluster
CLA_000001,Claimant,Claimant_1,COMP_0001,3,1,5485.41,0,0.57,0.0003604902667627974,0.0,8.813669724541576e-82,0
VEH_000002,Vehicle,Vehicle_2,COMP_0001,1,1,5485.41,0,0.57,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADD_000003,Address,Address_3,COMP_0001,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
PHO_000004,Phone,Phone_4,COMP_0001,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
REP_000005,RepairShop,RepairShop_5,COMP_0001,1,1,5485.41,0,0.57,0.0001201634222542658,0.0,5.644170118516875e-82,0
BRO_000006,Broker,Broker_6,COMP_0001,1,1,5485.41,0,0.57,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADJ_000007,Adjuster,Adjuster_7,COMP_0002,0,0,0.0,0,0.0,0.0,0.0,8.279493291131326e-142,0
WIT_000008,Witness,Witness_8,COMP_0001,1,1,5485.41,0,0.57,0.0001201634222542658,0.0,5.644170118516875e-82,0
CLA_000009,Claimant,Claimant_9,COMP_0003,3,1,714.39,0,0.07,0.0003604902667627974,0.0,1.6243850680911052e-84,0
VEH_000010,Vehicle,Vehicle_10,COMP_0003,1,1,714.39,0,0.07,0.0001201634222542658,0.0,9.378391563300083e-85,0
ADD_000011,Address,Address_11,COMP_0003,1,0,0.0,0,0.0,0.0001201634222542658,0.0,7.467311857769567e-85,0
PHO_000012,Phone,Phone_12,COMP_0003,1,0,0.0,0,0.0,0.0001201634222542658,0.0,7.467311857769567e-85,0
REP_000013,RepairShop,RepairShop_13,COMP_0003,1,1,714.39,0,0.07,0.0001201634222542658,0.0,9.378391563300083e-85,0
BRO_000014,Broker,Broker_14,COMP_0003,1,1,714.39,0,0.07,0.0001201634222542658,0.0,9.378391563300083e-85,0
ADJ_000015,Adjuster,Adjuster_15,COMP_0004,0,0,0.0,0,0.0,0.0,0.0,8.279493291131326e-142,0
CLA_000016,Claimant,Claimant_16,COMP_0005,3,1,6259.08,0,0.12,0.0003604902667627974,0.0,8.813669724541576e-82,0
VEH_000017,Vehicle,Vehicle_17,COMP_0005,1,1,6259.08,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADD_000018,Address,Address_18,COMP_0005,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
PHO_000019,Phone,Phone_19,COMP_0005,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
REP_000020,RepairShop,RepairShop_20,COMP_0005,1,1,6259.08,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
BRO_000021,Broker,Broker_21,COMP_0005,1,1,6259.08,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADJ_000022,Adjuster,Adjuster_22,COMP_0006,0,0,0.0,0,0.0,0.0,0.0,8.279493291131326e-142,0
WIT_000023,Witness,Witness_23,COMP_0005,1,1,6259.08,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
CLA_000024,Claimant,Claimant_24,COMP_0007,3,1,9945.97,0,0.54,0.0003604902667627974,0.0,1.6243850680911052e-84,0
VEH_000025,Vehicle,Vehicle_25,COMP_0007,1,1,9945.97,0,0.54,0.0001201634222542658,0.0,9.378391563300083e-85,0
ADD_000026,Address,Address_26,COMP_0007,1,0,0.0,0,0.0,0.0001201634222542658,0.0,7.467311857769567e-85,0
PHO_000027,Phone,Phone_27,COMP_0007,1,0,0.0,0,0.0,0.0001201634222542658,0.0,7.467311857769567e-85,0
REP_000028,RepairShop,RepairShop_28,COMP_0007,1,1,9945.97,0,0.54,0.0001201634222542658,0.0,9.378391563300083e-85,0
BRO_000029,Broker,Broker_29,COMP_0007,1,1,9945.97,0,0.54,0.0001201634222542658,0.0,9.378391563300083e-85,0
ADJ_000030,Adjuster,Adjuster_30,COMP_0008,0,0,0.0,0,0.0,0.0,0.0,8.279493291131326e-142,0
CLA_000031,Claimant,Claimant_31,COMP_0009,3,1,3872.14,0,0.12,0.0003604902667627974,0.0,8.813669724541576e-82,0
VEH_000032,Vehicle,Vehicle_32,COMP_0009,1,1,3872.14,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADD_000033,Address,Address_33,COMP_0009,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
PHO_000034,Phone,Phone_34,COMP_0009,1,0,0.0,0,0.0,0.0001201634222542658,0.0,3.7373066986512065e-82,0
REP_000035,RepairShop,RepairShop_35,COMP_0009,1,1,3872.14,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
BRO_000036,Broker,Broker_36,COMP_0009,1,1,3872.14,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
ADJ_000037,Adjuster,Adjuster_37,COMP_0010,0,0,0.0,0,0.0,0.0,0.0,8.279493291131326e-142,0
TOW_000038,TowTruckCompany,TowTruckCompany_38,COMP_0009,1,1,3872.14,0,0.12,0.0001201634222542658,0.0,5.644170118516875e-82,0
